;Scopy version,f4beeb1
;Exported on,Friday September 27/09/2024
;Device,M2K
;Nr of samples,200
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,1000,25.1654,179.031
1,1040.1,24.4932,178.626
2,1081.81,24.4424,179.122
3,1125.19,24.5033,178.642
4,1170.31,24.5536,178.45
5,1217.24,24.5893,181
6,1266.05,24.6365,179.457
7,1316.82,24.6421,178.782
8,1369.62,24.6661,179.072
9,1424.54,24.6737,179.325
10,1481.67,24.6005,178.402
11,1541.08,24.5798,177.312
12,1602.88,24.6019,177.783
13,1667.16,24.5213,179.293
14,1734.01,24.5926,177.888
15,1803.54,24.5355,177.88
16,1875.86,24.7395,179.794
17,1951.09,24.7995,178.514
18,2029.32,24.7315,178.266
19,2110.7,24.8723,177.435
20,2195.34,24.893,178.517
21,2283.37,24.8473,177.493
22,2374.93,24.6716,177.378
23,2470.17,24.7224,178.877
24,2569.22,24.5486,179.879
25,2672.25,24.6012,177.791
26,2779.41,24.558,178.36
27,2890.86,24.4077,182
28,3006.78,24.5127,182
29,3127.36,24.4009,185
30,3252.76,24.4635,185
31,3383.2,24.6162,186
32,3518.86,24.7529,187
33,3659.97,24.9923,189
34,3806.73,25.4747,189
35,3959.38,26.0257,186
36,4118.16,26.2829,186
37,4283.29,26.1896,185
38,4455.05,26.4341,184
39,4633.7,26.2805,183
40,4819.51,26.1041,179.73
41,5012.77,26.0937,174.827
42,5213.79,25.9009,174.86
43,5422.86,26.0194,175.091
44,5640.31,26.0435,175.376
45,5866.49,25.8187,175.336
46,6101.74,25.8071,175.547
47,6346.42,25.6055,173.423
48,6600.91,25.7703,174.165
49,6865.6,25.4785,172.749
50,7140.91,25.5455,171.149
51,7427.26,25.7873,172.763
52,7725.1,25.7076,169.71
53,8034.87,25.7321,171.054
54,8357.07,25.7441,172.819
55,8692.19,25.5566,169.102
56,9040.75,25.448,170.425
57,9403.28,25.3832,170.981
58,9780.35,25.0962,167.22
59,10172.5,25.0131,167.336
60,10580.5,25.0515,166.218
61,11004.7,25.0533,165.467
62,11446,25.0219,165.287
63,11905,25.0699,165.129
64,12382.4,24.9692,164.346
65,12878.9,24.9969,164.217
66,13395.4,24.9686,163.674
67,13932.5,24.9212,161.349
68,14491.2,24.9845,161.808
69,15072.3,24.9329,162.302
70,15676.7,24.9053,161.394
71,16305.4,24.9472,159.832
72,16959.2,24.8674,160.43
73,17639.3,24.8724,159.239
74,18346.6,24.8421,156.526
75,19082.3,24.8376,157.401
76,19847.5,24.6271,156.358
77,20643.4,24.7365,155.138
78,21471.2,24.63,154.615
79,22332.2,24.6858,153.689
80,23227.7,24.5356,153.463
81,24159.1,24.4379,151.759
82,25127.9,24.4511,149.737
83,26135.5,24.337,148.976
84,27183.6,24.2905,147.954
85,28273.6,24.241,147.198
86,29407.4,24.1418,144.961
87,30586.6,24.1094,146.202
88,31813.1,23.9846,143.363
89,33088.9,23.9125,142.779
90,34415.7,23.7518,141.793
91,35795.8,23.6571,138.6
92,37231.2,23.5904,138.585
93,38724.2,23.346,136.853
94,40277,23.3197,136.728
95,41892.1,23.0874,133.751
96,43572,22.961,131.653
97,45319.2,22.8095,132.471
98,47136.5,22.6843,128.325
99,49026.7,22.4075,130.244
100,50992.6,22.3787,127.568
101,53037.4,22.1321,126.818
102,55164.2,21.8347,125.504
103,57376.3,21.7419,124.26
104,59677.1,21.4539,123.754
105,62070.2,21.2255,122.541
106,64559.2,21.0575,123.753
107,67148,20.7532,120.712
108,69840.6,20.5024,121.076
109,72641.2,20.3475,119.06
110,75554.1,19.7942,117.651
111,78583.9,19.9705,118.723
112,81735.1,19.7342,113.23
113,85012.6,19.22,113.366
114,88421.6,18.9228,114.168
115,91967.4,18.4329,112.544
116,95655.2,18.1812,107.888
117,99491,17.9839,110.306
118,103481,17.9063,112.042
119,107630,17.6865,111.155
120,111946,17.4763,109.533
121,116435,17.1968,107.565
122,121104,16.8085,104.941
123,125960,16.4465,104.634
124,131011,16.1352,103.04
125,136265,15.744,103.63
126,141729,15.4706,101.847
127,147413,15.0959,101.541
128,153324,14.8972,99.9744
129,159472,14.416,101.3
130,165867,13.9567,99.0885
131,172518,13.7922,100.028
132,179436,13.4208,98.585
133,186632,13.2361,96.2255
134,194115,12.8544,96.4557
135,201899,12.5284,96.311
136,209996,12.1519,93.8696
137,218416,11.898,96.2412
138,227175,11.4733,95.6242
139,236285,11.2315,91.9871
140,245760,10.8006,93.7724
141,255615,10.3763,92.0663
142,265865,10.2466,93.5193
143,276526,9.88564,89.118
144,287615,9.39615,91.6462
145,299148,9.17773,90.4244
146,311144,9.02123,90.2012
147,323621,8.39154,89.3531
148,336598,7.95927,87.9195
149,350095,7.68646,85.1553
150,364134,7.00465,92.2374
151,378736,7.17836,82.0681
152,393923,6.76528,89.5019
153,409719,6.8941,83.4159
154,426149,5.71715,79.107
155,443238,5.53762,86.5723
156,461012,5.48177,77.3396
157,479498,5.03888,80.8256
158,498726,4.45014,82.0183
159,518725,4.09929,82.6616
160,539526,4.00457,79.7014
161,561161,3.51972,83.5771
162,583663,3.04763,77.4732
163,607068,3.23745,68.201
164,631411,3.12123,78.3599
165,656731,3.67701,91.5219
166,683066,2.37245,66.6447
167,710457,1.88742,84.8378
168,738946,1.63389,80.8014
169,768578,1.1797,79.3596
170,799398,0.892794,76.617
171,831453,0.332056,79.3234
172,864795,0.132602,71.0643
173,899473,0.867579,80.1963
174,935542,-1.36004,94.8935
175,973057,-0.716725,77.3928
176,1.01208e+06,-0.442222,67.7364
177,1.05266e+06,-1.14574,71.1334
178,1.09487e+06,-1.33939,64.9696
179,1.13878e+06,-1.8889,69.016
180,1.18444e+06,-2.19009,68.1483
181,1.23194e+06,-2.11998,65.7894
182,1.28134e+06,-2.41603,62.1753
183,1.33272e+06,-2.57318,69.4296
184,1.38616e+06,-3.00344,60.8839
185,1.44175e+06,-3.00095,61.4179
186,1.49956e+06,-3.43293,57.368
187,1.55969e+06,-3.56607,56.7255
188,1.62224e+06,-3.99608,56.9616
189,1.68729e+06,-4.4583,65.1527
190,1.75495e+06,-5.16746,59.232
191,1.82532e+06,-5.20236,64.8199
192,1.89852e+06,-5.71073,57.9718
193,1.97465e+06,-5.55774,50.6572
194,2.05383e+06,-5.37678,52.469
195,2.13619e+06,-4.38872,54.9651
196,2.22185e+06,-5.7189,53.3458
197,2.31095e+06,-5.66905,40.9237
198,2.40362e+06,-6.72884,53.0459
199,2.5e+06,-7.15282,39.5321
