;Scopy version,f4beeb1
;Exported on,Friday October 04/10/2024
;Device,M2K
;Nr of samples,200
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,1000,14.1255,179.734
1,1040.1,13.8821,179.736
2,1081.81,13.899,179.9
3,1125.19,13.9033,179.681
4,1170.31,13.9062,179.801
5,1217.24,13.9188,181
6,1266.05,13.9096,179.883
7,1316.82,13.9251,179.604
8,1369.62,13.9304,179.687
9,1424.54,13.94,179.724
10,1481.67,13.9566,179.736
11,1541.08,13.9831,179.68
12,1602.88,14.0032,179.48
13,1667.16,14.0175,179.397
14,1734.01,14.0373,179.249
15,1803.54,14.0478,179.382
16,1875.86,14.0719,179.139
17,1951.09,14.0887,179.07
18,2029.32,14.0762,179.356
19,2110.7,14.0543,179.101
20,2195.34,14.0589,179.204
21,2283.37,14.0746,179.187
22,2374.93,14.0623,179.566
23,2470.17,14.0646,179.245
24,2569.22,14.071,179.008
25,2672.25,14.0563,178.961
26,2779.41,14.0638,179.245
27,2890.86,14.0863,179.27
28,3006.78,14.0997,179.043
29,3127.36,14.1025,178.798
30,3252.76,14.0826,178.475
31,3383.2,14.0892,178.827
32,3518.86,14.1073,178.757
33,3659.97,14.1096,179.034
34,3806.73,14.0643,179.107
35,3959.38,14.0905,178.712
36,4118.16,14.1114,178.582
37,4283.29,14.1027,178.511
38,4455.05,14.0911,178.228
39,4633.7,14.1533,178.381
40,4819.51,14.1583,178.884
41,5012.77,14.1079,178.53
42,5213.79,14.15,178.302
43,5422.86,14.1595,177.93
44,5640.31,14.148,177.84
45,5866.49,14.1976,178.154
46,6101.74,14.1975,177.349
47,6346.42,14.1971,177.636
48,6600.91,14.1627,177.021
49,6865.6,14.1695,177.853
50,7140.91,14.1591,176.961
51,7427.26,14.1144,177.671
52,7725.1,14.0804,176.713
53,8034.87,14.1165,177.007
54,8357.07,14.095,176.943
55,8692.19,14.136,176.931
56,9040.75,14.1313,176.358
57,9403.28,14.1667,176.266
58,9780.35,14.1321,176.521
59,10172.5,13.9933,176.294
60,10580.5,14.0019,176.11
61,11004.7,13.9969,175.893
62,11446,14.0069,175.963
63,11905,14.0082,175.412
64,12382.4,14.0009,175.643
65,12878.9,14.0123,175.683
66,13395.4,14.0056,174.762
67,13932.5,14.0319,174.65
68,14491.2,14.0356,174.649
69,15072.3,14.019,174.476
70,15676.7,14.0453,174.275
71,16305.4,14.0359,173.915
72,16959.2,14.0408,173.517
73,17639.3,14.0409,173.261
74,18346.6,14.0267,173.083
75,19082.3,14.0183,173.015
76,19847.5,14.0228,172.262
77,20643.4,14.0324,172.234
78,21471.2,14.0097,171.79
79,22332.2,13.9912,171.494
80,23227.7,14.0251,171.167
81,24159.1,14.0076,170.5
82,25127.9,14.0186,170.293
83,26135.5,13.9893,170.246
84,27183.6,13.9721,169.763
85,28273.6,13.9865,169.175
86,29407.4,13.9856,169.023
87,30586.6,13.955,168.224
88,31813.1,13.9391,167.362
89,33088.9,13.945,167.231
90,34415.7,13.9207,166.91
91,35795.8,13.9188,166.223
92,37231.2,13.9305,165.956
93,38724.2,13.891,165.455
94,40277,13.8779,164.998
95,41892.1,13.8646,164.078
96,43572,13.8474,163.232
97,45319.2,13.8699,162.902
98,47136.5,13.8403,161.784
99,49026.7,13.7845,161.483
100,50992.6,13.7577,160.653
101,53037.4,13.7541,160.074
102,55164.2,13.7303,159.203
103,57376.3,13.6965,158.272
104,59677.1,13.6078,157.041
105,62070.2,13.587,156.509
106,64559.2,13.5116,155.479
107,67148,13.4837,154.9
108,69840.6,13.4017,153.876
109,72641.2,13.3402,153.154
110,75554.1,13.2678,152.263
111,78583.9,13.1917,151.384
112,81735.1,13.1458,149.96
113,85012.6,13.1107,149.065
114,88421.6,13.0321,147.86
115,91967.4,12.9738,147.541
116,95655.2,12.8424,145.174
117,99491,12.7738,144.021
118,103481,12.5208,143.331
119,107630,12.4075,142.048
120,111946,12.3323,141.84
121,116435,12.2646,140.642
122,121104,12.1608,138.858
123,125960,12.0287,137.255
124,131011,11.8721,136.313
125,136265,11.7289,134.645
126,141729,11.5658,133.11
127,147413,11.3981,132.196
128,153324,11.25,130.5
129,159472,11.0582,129.116
130,165867,10.8822,127.78
131,172518,10.6734,125.626
132,179436,10.4912,125.004
133,186632,10.2765,123.582
134,194115,10.0545,122.359
135,201899,9.82821,120.613
136,209996,9.60406,119.428
137,218416,9.36653,118.328
138,227175,9.12932,116.448
139,236285,8.83274,115.377
140,245760,8.57561,113.885
141,255615,8.32194,113.228
142,265865,8.07768,111.512
143,276526,7.83813,109.566
144,287615,7.61554,108.348
145,299148,7.31532,107.632
146,311144,7.07838,106.132
147,323621,6.81064,105.139
148,336598,6.53567,103.237
149,350095,6.26238,102.392
150,364134,5.99928,100.962
151,378736,5.71939,99.9295
152,393923,5.4295,98.8498
153,409719,5.17346,96.5908
154,426149,4.82667,95.0496
155,443238,4.49996,93.9713
156,461012,3.79274,93.1903
157,479498,3.52613,91.2974
158,498726,3.27601,90.7432
159,518725,3.03684,90.9271
160,539526,2.76312,88.8376
161,561161,2.39013,88.8757
162,583663,2.15197,87.653
163,607068,1.8707,87.6051
164,631411,1.55343,85.5159
165,656731,1.28589,84.9931
166,683066,1.02645,82.8864
167,710457,0.737861,81.9924
168,738946,0.441399,81.0821
169,768578,0.17608,80.055
170,799398,-0.0888368,78.6211
171,831453,-0.319954,77.3993
172,864795,-0.539764,76.2465
173,899473,-0.852549,75.2197
174,935542,-1.11636,73.9623
175,973057,-1.37989,72.8049
