;Scopy version,f4beeb1
;Exported on,Friday September 27/09/2024
;Device,M2K
;Nr of samples,200
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,1000,13.9445,179.664
1,1040.1,13.9214,179.652
2,1081.81,13.9216,179.631
3,1125.19,13.9213,179.626
4,1170.31,13.9193,179.603
5,1217.24,13.922,179.59
6,1266.05,13.9218,179.567
7,1316.82,13.9232,179.544
8,1369.62,13.9191,179.537
9,1424.54,13.9204,179.517
10,1481.67,13.9202,179.489
11,1541.08,13.9215,179.457
12,1602.88,13.9245,179.454
13,1667.16,13.9242,179.438
14,1734.01,13.9246,179.395
15,1803.54,13.9244,179.366
16,1875.86,13.9277,179.377
17,1951.09,13.9275,179.303
18,2029.32,13.9299,179.298
19,2110.7,13.9282,179.276
20,2195.34,13.9281,179.249
21,2283.37,13.9232,179.247
22,2374.93,13.9234,179.152
23,2470.17,13.924,179.145
24,2569.22,13.9249,179.092
25,2672.25,13.9273,179.046
26,2779.41,13.9338,179.014
27,2890.86,13.9319,178.98
28,3006.78,13.9315,178.944
29,3127.36,13.9291,178.879
30,3252.76,13.9278,178.886
31,3383.2,13.9317,178.799
32,3518.86,13.9321,178.788
33,3659.97,13.9315,178.711
34,3806.73,13.9305,178.648
35,3959.38,13.9319,178.585
36,4118.16,13.9352,178.513
37,4283.29,13.9338,178.471
38,4455.05,13.9369,178.383
39,4633.7,13.9387,178.335
40,4819.51,13.9404,178.298
41,5012.77,13.9377,178.147
42,5213.79,13.941,178.049
43,5422.86,13.9385,178.021
44,5640.31,13.9418,177.884
45,5866.49,13.9418,177.85
46,6101.74,13.9426,177.706
47,6346.42,13.9442,177.605
48,6600.91,13.9369,177.541
49,6865.6,13.9454,177.402
50,7140.91,13.9417,177.283
51,7427.26,13.9481,177.098
52,7725.1,13.9381,177.083
53,8034.87,13.9486,177.032
54,8357.07,13.9461,176.752
55,8692.19,13.9454,176.64
56,9040.75,13.9427,176.563
57,9403.28,13.9494,176.338
58,9780.35,13.9382,176.148
59,10172.5,13.9416,176.063
60,10580.5,13.9395,175.865
61,11004.7,13.9392,175.667
62,11446,13.9377,175.496
63,11905,13.9338,175.318
64,12382.4,13.9371,175.086
65,12878.9,13.9328,174.912
66,13395.4,13.929,174.706
67,13932.5,13.9287,174.43
68,14491.2,13.9232,174.217
69,15072.3,13.919,173.965
70,15676.7,13.9191,173.683
71,16305.4,13.9192,173.407
72,16959.2,13.9131,173.134
73,17639.3,13.9094,172.836
74,18346.6,13.9056,172.558
75,19082.3,13.9005,172.277
76,19847.5,13.8952,171.924
77,20643.4,13.8868,171.574
78,21471.2,13.8836,171.236
79,22332.2,13.8748,170.768
80,23227.7,13.8629,170.434
81,24159.1,13.854,170.027
82,25127.9,13.8388,169.591
83,26135.5,13.8332,169.108
84,27183.6,13.8218,168.606
85,28273.6,13.8106,168.068
86,29407.4,13.7939,167.59
87,30586.6,13.7839,167.107
88,31813.1,13.7615,166.552
89,33088.9,13.7251,165.684
90,34415.7,13.7173,165.167
91,35795.8,13.6672,164.319
92,37231.2,13.671,163.687
93,38724.2,13.6282,163.005
94,40277,13.596,162.091
95,41892.1,13.5686,161.063
96,43572,13.5058,160.518
97,45319.2,13.4518,159.335
98,47136.5,13.3692,157.766
99,49026.7,13.3237,156.718
100,50992.6,13.2431,156.006
101,53037.4,13.1418,154.22
102,55164.2,13.0133,153.021
103,57376.3,12.921,151.943
104,59677.1,12.7778,149.994
105,62070.2,12.62,148.582
106,64559.2,12.4484,147.188
107,67148,12.24,144.024
108,69840.6,11.996,142.274
109,72641.2,11.7516,140.603
110,75554.1,11.5279,138.4
