;Scopy version,f4beeb1
;Exported on,Wednesday October 02/10/2024
;Device,M2K
;Nr of samples,200
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,50000,20.4804,-0.425023
1,51586.1,20.4848,-0.371151
2,53222.5,20.4716,-0.38407
3,54910.8,20.472,-0.428265
4,56652.7,20.4712,-0.525066
5,58449.8,20.4771,-0.470708
6,60304,20.4811,-0.516095
7,62216.9,20.4853,-0.474867
8,64190.6,20.4841,-0.548581
9,66226.8,20.4764,-0.551737
10,68327.7,20.4751,-0.536645
11,70495.2,20.4814,-0.53607
12,72731.4,20.481,-0.569793
13,75038.6,20.4805,-0.59993
14,77419,20.475,-0.65039
15,79874.8,20.4803,-0.655437
16,82408.6,20.4783,-0.670673
17,85022.8,20.4725,-0.619271
18,87719.9,20.4744,-0.67154
19,90502.5,20.4801,-0.750475
20,93373.4,20.4794,-0.860733
21,96335.4,20.4809,-0.622949
22,99391.4,20.477,-0.816914
23,102544,20.4752,-0.752183
24,105797,20.4759,-0.832922
25,109153,20.4766,-0.900818
26,112616,20.4757,-0.874859
27,116188,20.4757,-0.963796
28,119874,20.4757,-1.02002
29,123677,20.4758,-1.07043
30,127600,20.4788,-1.04017
31,131647,20.478,-1.11692
32,135824,20.4768,-1.06156
33,140132,20.4766,-1.16179
34,144577,20.4782,-1.16121
35,149164,20.4742,-1.20586
36,153895,20.4755,-1.21719
37,158777,20.4734,-1.29007
38,163814,20.4777,-1.38768
39,169011,20.4785,-1.36027
40,174372,20.4763,-1.41477
41,179903,20.4785,-1.44627
42,185610,20.4806,-1.59513
43,191498,20.478,-1.57547
44,197573,20.4791,-1.5875
45,203840,20.48,-1.71913
46,210306,20.4767,-1.71432
47,216978,20.4773,-1.76625
48,223861,20.486,-1.86437
49,230962,20.4799,-1.98481
50,238289,20.4837,-1.94427
51,245848,20.4835,-2.08453
52,253646,20.4824,-2.15313
53,261692,20.486,-2.19513
54,269994,20.4843,-2.21988
55,278559,20.4864,-2.26309
56,287395,20.4867,-2.30609
57,296512,20.4894,-2.57373
58,305918,20.4926,-2.61445
59,315622,20.4949,-2.63173
60,325634,20.4936,-2.71408
61,335964,20.4907,-2.83417
62,346621,20.495,-2.81368
63,357617,20.4941,-2.98381
64,368961,20.494,-3.07672
65,380665,20.4942,-3.23496
66,392741,20.491,-3.30413
67,405199,20.4961,-3.32172
68,418053,20.4956,-3.50621
69,431314,20.5063,-3.6317
70,444996,20.5098,-3.79906
71,459112,20.4986,-4.08289
72,473676,20.4941,-4.01787
73,488702,20.4941,-4.18338
74,504205,20.4896,-4.29765
75,520199,20.4938,-4.44559
76,536701,20.4879,-4.65054
77,553726,20.4939,-4.63198
78,571291,20.4862,-4.72675
79,589414,20.4829,-5.04674
80,608111,20.4869,-5.28359
81,627402,20.4855,-5.35315
82,647304,20.4817,-5.5801
83,667838,20.4769,-5.67122
84,689023,20.4893,-5.83012
