;Scopy version,f4beeb1
;Exported on,Wednesday October 02/10/2024
;Device,M2K
;Nr of samples,200
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,50000,20.4966,-0.499636
1,51586.1,20.4754,-0.198872
2,53222.5,20.4752,-0.408661
3,54910.8,20.4738,-0.436488
4,56652.7,20.4742,-0.50509
5,58449.8,20.4807,-0.62579
6,60304,20.4828,-0.683127
7,62216.9,20.4783,-0.471124
8,64190.6,20.4765,-0.616633
9,66226.8,20.4764,-0.52093
10,68327.7,20.4754,-0.48162
11,70495.2,20.4757,-0.748679
12,72731.4,20.4696,-0.601633
13,75038.6,20.4802,-0.609213
14,77419,20.478,-0.609061
15,79874.8,20.4867,-0.685431
16,82408.6,20.4909,-0.699482
17,85022.8,20.4869,-0.737996
18,87719.9,20.4833,-0.754237
19,90502.5,20.4723,-0.690405
20,93373.4,20.4721,-0.778451
21,96335.4,20.4837,-0.912836
22,99391.4,20.4784,-0.62178
23,102544,20.4974,-0.707031
24,105797,20.4905,-0.987831
25,109153,20.4906,-0.949472
26,112616,20.4898,-0.952718
27,116188,20.4905,-0.924379
28,119874,20.4953,-1.02665
29,123677,20.4949,-1.03811
30,127600,20.4997,-0.977529
31,131647,20.4886,-1.10642
32,135824,20.493,-1.22446
33,140132,20.4888,-1.26427
34,144577,20.4941,-1.15679
35,149164,20.4881,-1.35468
36,153895,20.492,-1.39792
37,158777,20.4883,-1.27902
38,163814,20.4871,-1.329
39,169011,20.4942,-1.39867
40,174372,20.4921,-1.28481
41,179903,20.483,-1.4654
42,185610,20.4998,-1.58613
43,191498,20.485,-1.70889
44,197573,20.4868,-1.62306
45,203840,20.4936,-1.91401
46,210306,20.4963,-1.72983
47,216978,20.4855,-1.85049
48,223861,20.495,-1.82637
49,230962,20.4846,-1.95697
50,238289,20.4904,-1.90778
51,245848,20.4964,-2.01836
52,253646,20.4909,-2.19931
53,261692,20.4905,-2.14775
54,269994,20.4902,-2.21956
55,278559,20.4966,-2.28322
56,287395,20.5011,-2.4028
57,296512,20.4928,-2.41032
58,305918,20.5066,-2.55584
59,315622,20.4995,-2.79344
60,325634,20.4863,-2.68553
61,335964,20.5027,-2.77545
62,346621,20.5042,-2.84161
63,357617,20.4964,-2.86287
64,368961,20.4998,-2.95068
65,380665,20.5016,-3.15853
66,392741,20.5013,-3.34597
67,405199,20.5055,-3.41821
68,418053,20.5045,-3.58272
69,431314,20.5035,-3.65527
70,444996,20.5274,-3.82758
71,459112,20.4923,-3.89356
72,473676,20.4974,-3.97164
73,488702,20.4928,-4.20358
74,504205,20.5091,-3.95946
75,520199,20.5067,-4.46312
76,536701,20.4939,-4.34562
77,553726,20.5028,-4.6343
78,571291,20.4991,-4.84187
79,589414,20.4956,-4.96514
80,608111,20.5091,-5.22841
