;Scopy version,f4beeb1
;Exported on,Wednesday October 02/10/2024
;Device,M2K
;Nr of samples,200
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,50000,23.2144,0.736822
1,51586.1,23.1552,-0.732152
2,53222.5,23.1388,-0.462438
3,54910.8,23.1607,0.180143
4,56652.7,23.1472,-0.13277
5,58449.8,23.1521,-1.32858
6,60304,23.1476,0.142809
7,62216.9,23.1922,0.285895
8,64190.6,23.1407,-0.25235
9,66226.8,23.1652,0.109909
10,68327.7,23.2079,-0.746199
11,70495.2,23.1657,-0.205503
12,72731.4,23.1892,-0.568997
13,75038.6,23.0975,-0.227426
14,77419,23.0865,-1.46167
15,79874.8,23.0888,-0.298163
16,82408.6,23.0467,-0.274524
17,85022.8,23.0683,0.106643
18,87719.9,23.0773,-1.08676
19,90502.5,22.9706,-0.0649488
20,93373.4,23.013,-0.197044
21,96335.4,23.0016,-0.753894
22,99391.4,22.9894,0.186068
23,102544,23.0723,-0.333822
24,105797,23.1052,-0.919363
25,109153,23.077,-2.03461
26,112616,23.0936,0.085385
27,116188,23.0785,-0.64167
28,119874,23.1241,-1.34453
29,123677,23.1126,-0.81896
30,127600,23.1193,-1.24534
31,131647,23.1225,-0.943351
32,135824,23.105,-1.07908
33,140132,23.0833,-0.738849
34,144577,23.1168,-0.433703
35,149164,23.0982,-0.391186
36,153895,23.1229,-1.14865
37,158777,23.1539,-1.26688
38,163814,23.1455,-1.44046
39,169011,23.1273,-1.50192
40,174372,23.1007,-1.26151
41,179903,23.1469,-1.84418
42,185610,23.145,-1.46483
43,191498,23.1,-1.05328
44,197573,23.1798,-0.887972
45,203840,23.1,-1.32928
46,210306,23.1061,-1.84888
47,216978,23.1218,-1.1284
48,223861,23.1163,-1.83314
49,230962,23.1181,-2.07379
50,238289,23.0864,-1.74238
51,245848,23.103,-1.32494
52,253646,23.0785,-1.52404
53,261692,23.0511,-2.12151
54,269994,23.0814,-1.87062
55,278559,23.1068,-2.09322
56,287395,23.055,-2.48927
57,296512,23.0979,-2.0096
58,305918,23.1129,-2.46429
59,315622,23.0753,-1.82848
60,325634,23.1154,-2.79476
61,335964,23.0986,-2.92307
62,346621,23.1175,-3.26464
63,357617,23.0756,-2.76071
64,368961,23.1331,-1.2724
65,380665,23.1073,-3.46517
66,392741,23.1168,-2.44882
67,405199,23.1119,-2.81885
68,418053,23.1103,-2.38522
69,431314,23.1902,-2.21581
70,444996,23.219,-3.49697
71,459112,23.1406,-4.76408
72,473676,23.1837,-3.28076
73,488702,23.2273,-3.54984
74,504205,23.1849,-4.03381
75,520199,23.1822,-5.49315
76,536701,23.1978,-4.12595
77,553726,23.1677,-5.07443
78,571291,23.2317,-5.32674
79,589414,23.2449,-5.5699
80,608111,23.2306,-5.26755
81,627402,23.1949,-5.15909
82,647304,23.2397,-4.86759
83,667838,23.2073,-5.08833
84,689023,23.2157,-6.07184
85,710880,23.2602,-5.75694
86,733431,23.1996,-6.31074
87,756696,23.2359,-6.04225
88,780700,23.3533,-7.9796
89,805466,23.291,-6.5624
90,831017,23.3255,-7.46261
91,857378,23.3485,-7.61064
92,884576,23.3354,-7.25318
93,912636,23.3026,-7.74262
94,941587,23.3277,-8.66116
95,971456,23.4167,-7.42976
96,1.00227e+06,23.3889,-9.16757
97,1.03407e+06,23.4804,-8.93736
98,1.06687e+06,23.5013,-9.61168
99,1.10071e+06,23.5342,-8.17934
100,1.13563e+06,23.4876,-8.75664
101,1.17165e+06,23.5651,-10.2684
102,1.20882e+06,23.5692,-9.00346
103,1.24717e+06,23.589,-11.3778
104,1.28673e+06,23.5746,-11.4897
105,1.32755e+06,23.5847,-11.6353
106,1.36966e+06,23.6363,-12.6187
107,1.41311e+06,23.6736,-13.0811
108,1.45793e+06,23.6394,-12.5159
109,1.50418e+06,23.6923,-15.2147
110,1.5519e+06,23.7251,-14.0568
111,1.60113e+06,23.7016,-14.5838
112,1.65192e+06,23.7907,-14.0006
113,1.70432e+06,23.8498,-14.8094
114,1.75838e+06,23.9349,-14.2382
115,1.81416e+06,23.8651,-17.5235
116,1.87171e+06,23.9715,-17.3463
117,1.93109e+06,23.9501,-17.618
118,1.99234e+06,24.0284,-17.9948
119,2.05554e+06,24.0637,-18.2145
120,2.12075e+06,24.1624,-19.2788
121,2.18802e+06,24.1687,-21.1652
122,2.25743e+06,24.2278,-22.9583
123,2.32904e+06,24.2926,-22.8699
124,2.40293e+06,24.3064,-25.4493
125,2.47915e+06,24.4008,-24.4705
126,2.55779e+06,24.4341,-25.8294
127,2.63893e+06,24.4515,-26.9682
128,2.72264e+06,24.5753,-29.4907
129,2.80901e+06,24.5864,-30.0062
130,2.89812e+06,24.6658,-33.3023
131,2.99005e+06,24.6566,-32.5937
132,3.0849e+06,24.7127,-33.3537
133,3.18276e+06,24.8239,-36.5991
134,3.28373e+06,24.7311,-40.0325
135,3.38789e+06,24.8435,-40.9849
136,3.49536e+06,24.8279,-41.2981
137,3.60624e+06,24.875,-44.1517
138,3.72064e+06,24.9313,-47.6923
139,3.83866e+06,24.957,-49.7051
140,3.96043e+06,24.821,-53.6449
141,4.08607e+06,24.8211,-54.2345
142,4.21569e+06,24.7674,-57.0569
143,4.34942e+06,24.7219,-60.4456
144,4.48739e+06,24.6485,-61.4443
145,4.62974e+06,24.5409,-66.251
146,4.7766e+06,24.2879,-70.609
147,4.92812e+06,24.2356,-73.188
148,5.08445e+06,23.9692,-74.4145
149,5.24574e+06,23.7358,-78.0886
150,5.41215e+06,23.4362,-79.5725
151,5.58383e+06,23.1356,-82.2586
152,5.76096e+06,22.8629,-86.0957
153,5.94371e+06,22.6517,-89.0595
154,6.13225e+06,22.2624,-92.6227
155,6.32678e+06,21.9219,-93.8312
156,6.52748e+06,21.576,-97.6654
157,6.73454e+06,21.1374,-99.0089
158,6.94818e+06,20.8075,-101.216
159,7.16859e+06,20.3179,-105.679
160,7.39599e+06,20.0288,-105.658
161,7.6306e+06,19.6661,-106.673
162,7.87266e+06,19.1611,-111.304
163,8.1224e+06,18.7968,-111.255
164,8.38005e+06,18.421,-112.824
165,8.64589e+06,18.0071,-115.854
166,8.92015e+06,17.4961,-115.574
167,9.20311e+06,17.0733,-116.689
168,9.49505e+06,16.7539,-119.381
169,9.79626e+06,16.4321,-119.985
170,1.0107e+07,15.9257,-123.37
171,1.04276e+07,15.4816,-121.572
172,1.07584e+07,15.1565,-127.83
173,1.10997e+07,14.8535,-127.383
174,1.14518e+07,14.3792,-129.919
175,1.18151e+07,13.9791,-128.465
176,1.21899e+07,13.7468,-131.6
177,1.25765e+07,13.4617,-129.013
178,1.29755e+07,13.0887,-132.639
179,1.33871e+07,12.8538,-134.304
180,1.38118e+07,12.5009,-132.808
181,1.42499e+07,12.1594,-131.563
182,1.47019e+07,11.968,-137.716
183,1.51683e+07,11.829,-135.936
184,1.56495e+07,11.5677,-136.115
185,1.61459e+07,11.2624,-136.436
186,1.66581e+07,10.9913,-140.099
187,1.71865e+07,10.7471,-140.567
188,1.77317e+07,10.5076,-144.863
189,1.82942e+07,11.0867,-152.697
190,1.88745e+07,10.6953,-155.823
191,1.94733e+07,10.3142,-148.129
192,2.0091e+07,10.4084,-156.836
193,2.07283e+07,10.2563,-161.225
194,2.13859e+07,10.302,-163.95
195,2.20643e+07,10.1178,-166.369
