;Scopy version,f4beeb1
;Exported on,Wednesday October 02/10/2024
;Device,M2K
;Nr of samples,200
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,50000,20.1762,0.845535
1,51586.1,20.2073,0.167043
2,53222.5,20.2446,-1.1181
3,54910.8,20.2011,0.0421874
4,56652.7,20.2169,-0.106968
5,58449.8,20.2382,0.164604
6,60304,20.293,0.388269
7,62216.9,20.2725,1.29778
8,64190.6,20.2823,-0.117602
9,66226.8,20.2769,-0.378575
10,68327.7,20.2778,-0.257064
11,70495.2,20.2664,-0.813517
12,72731.4,20.2838,0.189619
13,75038.6,20.1679,0.904907
14,77419,20.2271,-0.540681
15,79874.8,20.1897,-0.363212
16,82408.6,20.1307,-0.817272
17,85022.8,20.1713,0.339938
18,87719.9,20.1301,-2.20726
19,90502.5,20.1534,0.651561
20,93373.4,20.109,0.42031
21,96335.4,20.1063,-0.160264
22,99391.4,20.1403,0.792948
23,102544,20.1742,-0.682559
24,105797,20.1777,-0.565426
25,109153,20.2101,-0.51309
26,112616,20.2037,-0.284215
27,116188,20.2132,0.0945836
28,119874,20.1724,-0.671037
29,123677,20.1909,0.0238531
30,127600,20.2203,-0.581363
31,131647,20.1908,-0.694359
32,135824,20.2079,-1.26973
33,140132,20.2225,-0.542107
34,144577,20.2541,0.241126
35,149164,20.2214,-1.15879
36,153895,20.2298,-1.23393
37,158777,20.2492,-0.937542
38,163814,20.2029,-1.04915
39,169011,20.2339,-0.317241
40,174372,20.2144,-0.667847
41,179903,20.2121,-0.347506
42,185610,20.2307,-1.39134
43,191498,20.1743,-1.51833
44,197573,20.1916,-0.508441
45,203840,20.1715,-1.33274
46,210306,20.2057,-1.17273
47,216978,20.2174,-1.34814
48,223861,20.149,-0.57036
49,230962,20.1557,-0.941465
50,238289,20.1238,-0.564753
51,245848,20.1774,-1.88715
52,253646,20.1669,-0.773834
53,261692,20.1613,-2.01442
54,269994,20.1003,-1.7987
55,278559,20.1444,-1.90708
56,287395,20.1475,-0.482764
57,296512,20.1851,-1.28858
58,305918,20.1398,-1.31204
59,315622,20.142,-2.02815
60,325634,20.1365,-1.16445
61,335964,20.2298,-0.804654
62,346621,20.1978,-2.14297
63,357617,20.1474,-2.59729
64,368961,20.1843,-1.89627
65,380665,20.194,-1.78734
66,392741,20.2349,-2.65083
67,405199,20.1708,-3.59437
68,418053,20.2151,-1.55617
69,431314,20.3134,-2.39967
70,444996,20.1891,-2.27463
71,459112,20.2053,-2.12949
72,473676,20.2275,-3.68086
73,488702,20.2452,-2.53629
74,504205,20.2896,-2.5078
75,520199,20.2871,-2.22386
76,536701,20.2752,-3.53403
77,553726,20.2858,-2.67015
78,571291,20.2514,-2.95835
79,589414,20.2471,-1.98761
80,608111,20.2489,-2.82398
81,627402,20.2311,-2.69975
82,647304,20.1853,-2.79421
83,667838,20.2323,-2.74097
84,689023,20.2124,-4.39194
85,710880,20.224,-3.3011
86,733431,20.2056,-3.33449
87,756696,20.2701,-3.91256
88,780700,20.2209,-4.20898
89,805466,20.2478,-4.3539
90,831017,20.2266,-4.1205
91,857378,20.2606,-3.92755
92,884576,20.2496,-2.47102
93,912636,20.2597,-4.0122
94,941587,20.2548,-4.77041
95,971456,20.2433,-3.64752
96,1.00227e+06,20.2807,-5.50938
97,1.03407e+06,20.3606,-5.61635
98,1.06687e+06,20.3775,-5.01237
99,1.10071e+06,20.3088,-5.37016
100,1.13563e+06,20.3506,-5.9649
101,1.17165e+06,20.3535,-6.21879
102,1.20882e+06,20.3713,-5.93926
103,1.24717e+06,20.4067,-5.9767
104,1.28673e+06,20.2761,-6.93732
105,1.32755e+06,20.3557,-8.11383
106,1.36966e+06,20.2772,-8.18167
107,1.41311e+06,20.4048,-7.69256
108,1.45793e+06,20.3603,-8.13235
109,1.50418e+06,20.369,-5.40501
110,1.5519e+06,20.4214,-7.86685
111,1.60113e+06,20.4332,-8.99978
112,1.65192e+06,20.3716,-8.61579
113,1.70432e+06,20.3756,-8.19411
114,1.75838e+06,20.3965,-8.0537
115,1.81416e+06,20.3592,-10.4031
116,1.87171e+06,20.3811,-8.27271
117,1.93109e+06,20.385,-10.5118
118,1.99234e+06,20.4448,-8.58135
119,2.05554e+06,20.4396,-10.7386
120,2.12075e+06,20.4622,-11.1641
121,2.18802e+06,20.4564,-10.8355
122,2.25743e+06,20.4721,-11.7999
123,2.32904e+06,20.4914,-10.2234
124,2.40293e+06,20.5033,-11.5919
125,2.47915e+06,20.522,-12.0791
126,2.55779e+06,20.5426,-11.0609
127,2.63893e+06,20.5174,-13.7765
128,2.72264e+06,20.5571,-13.6597
129,2.80901e+06,20.5576,-14.0729
130,2.89812e+06,20.5831,-15.1648
131,2.99005e+06,20.471,-16.1563
132,3.0849e+06,20.5877,-16.6643
133,3.18276e+06,20.5977,-15.115
134,3.28373e+06,20.6275,-15.8503
135,3.38789e+06,20.6597,-15.6926
136,3.49536e+06,20.7202,-15.449
137,3.60624e+06,20.6196,-19.2981
138,3.72064e+06,20.6963,-17.3788
139,3.83866e+06,20.7542,-20.894
140,3.96043e+06,20.7522,-22.1395
141,4.08607e+06,20.7671,-20.8663
142,4.21569e+06,20.8279,-22.2933
143,4.34942e+06,20.8674,-22.563
144,4.48739e+06,20.9414,-22.0653
145,4.62974e+06,20.9009,-25.1221
146,4.7766e+06,20.9609,-26.7733
147,4.92812e+06,20.9937,-26.3985
148,5.08445e+06,20.9447,-26.2259
149,5.24574e+06,21.0741,-27.6118
150,5.41215e+06,21.1548,-30.8186
151,5.58383e+06,21.1003,-33.3639
152,5.76096e+06,21.1547,-31.5648
153,5.94371e+06,21.2647,-35.9646
154,6.13225e+06,21.2721,-34.675
155,6.32678e+06,21.3001,-36.4798
156,6.52748e+06,21.405,-36.5303
157,6.73454e+06,21.485,-39.3684
158,6.94818e+06,21.5492,-42.6211
159,7.16859e+06,21.5127,-42.7401
160,7.39599e+06,21.6419,-44.6699
161,7.6306e+06,21.5533,-47.3332
162,7.87266e+06,21.6248,-48.77
163,8.1224e+06,21.7167,-48.9336
164,8.38005e+06,21.5918,-52.5166
165,8.64589e+06,21.6039,-56.0944
166,8.92015e+06,21.6634,-57.642
167,9.20311e+06,21.5716,-62.2317
168,9.49505e+06,21.6523,-64.4837
169,9.79626e+06,21.6107,-66.5568
170,1.0107e+07,21.6084,-67.3191
171,1.04276e+07,21.5268,-77.9311
172,1.07584e+07,21.1814,-76.5261
173,1.10997e+07,21.2214,-79.4835
174,1.14518e+07,20.9515,-83.723
175,1.18151e+07,20.765,-87.5415
176,1.21899e+07,20.6258,-92.5758
177,1.25765e+07,20.2392,-95.2305
178,1.29755e+07,20.0114,-96.6105
179,1.33871e+07,19.604,-100.781
180,1.38118e+07,19.3656,-102.643
181,1.42499e+07,19.0097,-106.267
182,1.47019e+07,18.6447,-109.215
183,1.51683e+07,18.1779,-113.363
184,1.56495e+07,17.8484,-116.728
185,1.61459e+07,17.607,-117.629
186,1.66581e+07,17.2321,-118.727
187,1.71865e+07,16.6807,-123.259
188,1.77317e+07,16.4197,-125.617
189,1.82942e+07,16.0289,-127.408
190,1.88745e+07,15.6719,-132.877
191,1.94733e+07,15.0737,-131.456
192,2.0091e+07,14.8606,-136.614
193,2.07283e+07,14.446,-141.841
194,2.13859e+07,13.8252,-142.622
195,2.20643e+07,13.375,-142.745
196,2.27642e+07,13.0118,-144.487
197,2.34863e+07,12.528,-148.76
198,2.42313e+07,12.1267,-150.216
199,2.5e+07,11.6992,-155.061
