;Scopy version,f4beeb1
;Exported on,Monday September 30/09/2024
;Device,M2K
;Nr of samples,200
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,1000,60.4981,-3.91359
1,1040.1,39.8163,-2.24403
2,1081.81,39.8401,-2.18027
3,1125.19,39.8429,-2.08008
4,1170.31,39.8707,-2.19296
5,1217.24,39.8777,-2.37954
6,1266.05,39.9064,-2.5465
7,1316.82,39.9277,-2.74589
8,1369.62,39.9573,-3.13094
9,1424.54,39.9859,-3.21467
10,1481.67,39.9558,-3.12728
11,1541.08,39.9297,-3.04947
12,1602.88,39.9634,-3.31248
13,1667.16,40.0001,-3.26047
14,1734.01,39.9894,-3.51355
15,1803.54,40.0337,-3.74481
16,1875.86,40.038,-3.94726
17,1951.09,40.0546,-3.87238
18,2029.32,40.0577,-3.59241
19,2110.7,40.0784,-4.09447
20,2195.34,40.0677,-4.22742
21,2283.37,40.073,-4.30326
22,2374.93,40.1085,-4.7731
23,2470.17,40.1109,-4.56737
24,2569.22,40.1169,-5.05615
25,2672.25,40.1456,-5.14099
26,2779.41,40.1475,-5.31813
27,2890.86,40.1441,-5.75515
28,3006.78,40.1557,-6.06619
29,3127.36,40.1476,-5.84727
30,3252.76,40.1898,-6.58617
31,3383.2,40.1752,-6.98619
32,3518.86,40.1563,-7.35043
33,3659.97,40.1506,-7.62271
34,3806.73,40.1762,-8.27128
35,3959.38,40.1694,-8.2778
36,4118.16,40.1737,-9.12815
37,4283.29,40.1921,-8.93075
38,4455.05,40.1898,-10.0148
39,4633.7,40.2486,-10.1818
40,4819.51,40.2586,-10.6237
41,5012.77,40.2703,-10.7806
42,5213.79,40.3026,-11.9704
43,5422.86,40.3138,-12.5695
44,5640.31,40.3127,-12.7991
45,5866.49,40.2415,-13.6219
46,6101.74,40.2485,-14.1631
47,6346.42,40.2035,-15.0443
48,6600.91,40.2071,-15.5424
49,6865.6,40.2058,-16.9238
50,7140.91,40.1298,-17.6295
51,7427.26,40.1039,-17.9347
52,7725.1,40.0538,-19.0345
53,8034.87,40.0166,-19.2952
54,8357.07,40.0205,-20.3534
55,8692.19,39.9659,-20.978
56,9040.75,39.9445,-22.2069
57,9403.28,39.9593,-22.351
58,9780.35,39.9209,-23.4919
59,10172.5,39.7091,-24.18
60,10580.5,39.6663,-25.3139
61,11004.7,39.6128,-26.3108
62,11446,39.5446,-27.165
63,11905,39.4977,-28.2813
64,12382.4,39.4226,-29.3645
65,12878.9,39.3582,-30.0064
66,13395.4,39.2746,-31.6427
67,13932.5,39.2085,-32.4255
68,14491.2,39.1231,-33.6177
69,15072.3,39.059,-34.9009
70,15676.7,38.9562,-35.871
71,16305.4,38.864,-36.9011
72,16959.2,38.7596,-38.3586
73,17639.3,38.6664,-39.4387
74,18346.6,38.5335,-40.6589
75,19082.3,38.412,-42.0619
76,19847.5,38.2797,-43.7258
77,20643.4,38.134,-44.9936
78,21471.2,37.987,-46.0794
79,22332.2,37.8414,-47.7138
80,23227.7,37.6644,-49.0354
81,24159.1,37.5338,-50.4507
82,25127.9,37.3733,-51.7652
83,26135.5,37.2067,-53.4909
84,27183.6,37.027,-54.4403
85,28273.6,36.8152,-55.9784
86,29407.4,36.6306,-57.7331
87,30586.6,36.4191,-58.6759
88,31813.1,36.1118,-59.91
89,33088.9,35.8853,-61.8861
90,34415.7,35.6691,-63.1499
91,35795.8,35.4487,-64.48
92,37231.2,35.1931,-65.8479
93,38724.2,34.9429,-67.7101
94,40277,34.6523,-69.8761
95,41892.1,34.4089,-71.3581
96,43572,34.1638,-72.0909
97,45319.2,33.8951,-74.4972
98,47136.5,33.5748,-75.6723
99,49026.7,33.3092,-77.0564
100,50992.6,32.9972,-78.6662
101,53037.4,32.6687,-80.8654
102,55164.2,32.3352,-81.6801
103,57376.3,32.0648,-82.8163
104,59677.1,31.7618,-85.0283
105,62070.2,31.4871,-85.3156
106,64559.2,31.1136,-88.1668
107,67148,30.7479,-89.2265
108,69840.6,30.3863,-91.4346
109,72641.2,30.0757,-93.2381
110,75554.1,29.696,-93.4604
111,78583.9,29.3736,-95.9126
112,81735.1,29.0732,-97.1986
113,85012.6,28.7079,-100.411
114,88421.6,28.3432,-100.672
115,91967.4,28.0275,-100.276
116,95655.2,27.5779,-102.357
117,99491,27.2439,-105.518
118,103481,26.8058,-106.692
119,107630,26.4166,-108.655
120,111946,25.9873,-110.192
121,116435,25.592,-112.005
122,121104,25.188,-113.504
123,125960,24.7887,-114.787
124,131011,24.3607,-116.835
125,136265,23.9648,-118.46
126,141729,23.537,-119.845
127,147413,23.1295,-121.496
128,153324,22.7064,-123.382
129,159472,22.1941,-124.742
130,165867,21.8012,-126.903
131,172518,21.3283,-128.51
132,179436,20.8512,-130.296
133,186632,20.3972,-131.881
134,194115,19.9279,-132.785
135,201899,19.4457,-136.233
136,209996,18.9449,-136.98
137,218416,18.4832,-138.94
138,227175,17.959,-140.777
139,236285,17.3842,-141.417
140,245760,17.0363,-145.938
141,255615,16.3907,-144.713
142,265865,15.8787,-148.226
143,276526,15.3312,-149.339
144,287615,14.8063,-151.534
145,299148,14.3028,-152.802
146,311144,13.7315,-154.577
147,323621,13.3275,-157.512
148,336598,12.6587,-162.036
149,350095,12.0896,-160.659
150,364134,11.2946,-160.811
151,378736,10.775,-164.861
152,393923,10.1407,-166.394
153,409719,9.56209,-167.453
154,426149,8.92908,-173.228
155,443238,8.30803,-173.549
156,461012,7.03213,-173.374
157,479498,6.92062,-169.919
158,498726,6.54312,-173.644
159,518725,6.28841,-182
160,539526,5.98228,-187
161,561161,5.22941,-186
162,583663,4.2337,-195
163,607068,4.87166,-197
164,631411,3.33797,-196
165,656731,2.63117,-196
166,683066,1.92199,-198
167,710457,1.39644,-200
168,738946,0.548673,-189
169,768578,-0.174072,-196
170,799398,-0.629375,-199
171,831453,-1.44699,-214
172,864795,-0.928176,-181
173,899473,-1.99205,-217
174,935542,-2.11589,-163.217
175,973057,-1.00886,-228
176,1.01208e+06,-4.46917,-216
177,1.05266e+06,-5.0732,-217
178,1.09487e+06,-5.71378,-216
179,1.13878e+06,-6.29533,-221
180,1.18444e+06,-6.87099,-227
181,1.23194e+06,-7.41797,-227
182,1.28134e+06,-8.46808,-236
183,1.33272e+06,-8.60373,-230
184,1.38616e+06,-9.16895,-231
185,1.44175e+06,-9.68909,-236
186,1.49956e+06,-11.3516,-227
187,1.55969e+06,-9.82758,-252
188,1.62224e+06,-12.3267,-250
189,1.68729e+06,-12.1313,-236
190,1.75495e+06,-12.917,-248
191,1.82532e+06,-13.5355,-254
192,1.89852e+06,-14.005,-277
193,1.97465e+06,-14.8919,-244
194,2.05383e+06,-13.897,-231
195,2.13619e+06,-15.7894,-271
196,2.22185e+06,-15.657,-275
197,2.31095e+06,-13.5773,-247
198,2.40362e+06,-17.0348,-267
199,2.5e+06,-17.7174,-279
