;Scopy version,f4beeb1
;Exported on,Monday September 30/09/2024
;Device,M2K
;Nr of samples,200
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,1000,60.4918,-1.79852
1,1040.1,40.0258,-1.50984
2,1081.81,40.0405,-1.49098
3,1125.19,40.044,-1.63619
4,1170.31,40.0619,-1.56641
5,1217.24,40.0698,-1.60152
6,1266.05,40.1028,-1.98925
7,1316.82,40.1084,-1.81329
8,1369.62,40.1156,-2.05883
9,1424.54,40.1286,-2.20536
10,1481.67,40.1305,-2.31575
11,1541.08,40.1471,-2.41269
12,1602.88,40.151,-2.40493
13,1667.16,40.1439,-2.56808
14,1734.01,40.1413,-2.25762
15,1803.54,40.1451,-2.71813
16,1875.86,40.1335,-2.60325
17,1951.09,40.1364,-2.85881
18,2029.32,40.1522,-3.01363
19,2110.7,40.1598,-3.11483
20,2195.34,40.155,-3.28063
21,2283.37,40.1721,-3.52035
22,2374.93,40.1803,-3.50338
23,2470.17,40.1987,-3.61022
24,2569.22,40.1931,-3.64552
25,2672.25,40.2099,-4.2492
26,2779.41,40.1847,-4.81887
27,2890.86,40.1717,-4.3172
28,3006.78,40.155,-4.93752
29,3127.36,40.2143,-4.97676
30,3252.76,40.185,-5.0224
31,3383.2,40.2205,-5.72712
32,3518.86,40.2412,-5.46809
33,3659.97,40.28,-5.82436
34,3806.73,40.2967,-6.00725
35,3959.38,40.2895,-6.39644
36,4118.16,40.3242,-7.21584
37,4283.29,40.3328,-7.3905
38,4455.05,40.3507,-7.33469
39,4633.7,40.3559,-7.8564
40,4819.51,40.3952,-7.79499
41,5012.77,40.3608,-8.27156
42,5213.79,40.3737,-8.6682
43,5422.86,40.3877,-9.27145
44,5640.31,40.3814,-9.97105
45,5866.49,40.413,-10.1987
46,6101.74,40.363,-10.7527
47,6346.42,40.3639,-11.5551
48,6600.91,40.3478,-12.4284
49,6865.6,40.3298,-13.1509
50,7140.91,40.3373,-13.9431
51,7427.26,40.2884,-14.16
52,7725.1,40.2595,-14.6982
53,8034.87,40.2143,-15.3342
54,8357.07,40.2322,-15.4449
55,8692.19,40.2088,-17.0561
56,9040.75,40.2111,-17.5235
57,9403.28,40.2476,-18.4199
58,9780.35,40.2559,-18.9975
59,10172.5,39.9548,-19.9405
60,10580.5,39.9476,-20.6108
61,11004.7,39.9214,-21.5245
62,11446,39.8702,-22.2856
63,11905,39.8251,-22.9696
64,12382.4,39.781,-23.9943
65,12878.9,39.7353,-25.1416
66,13395.4,39.6714,-25.7054
67,13932.5,39.6267,-26.7694
68,14491.2,39.568,-28.0986
69,15072.3,39.5133,-28.9099
70,15676.7,39.4373,-29.9901
71,16305.4,39.3896,-31.1043
72,16959.2,39.2978,-32.16
73,17639.3,39.2365,-33.3756
74,18346.6,39.1665,-34.4939
75,19082.3,39.077,-35.8322
76,19847.5,38.982,-37.0209
77,20643.4,38.8814,-38.1678
78,21471.2,38.7757,-39.6704
79,22332.2,38.6959,-41.0367
80,23227.7,38.5742,-42.4225
81,24159.1,38.4836,-43.8189
82,25127.9,38.3541,-45.4163
83,26135.5,38.1859,-46.8119
84,27183.6,38.0476,-47.5858
85,28273.6,37.9296,-49.4672
86,29407.4,37.7864,-51.2084
87,30586.6,37.603,-53.1387
88,31813.1,37.445,-54.1126
