;Scopy version,f4beeb1
;Exported on,Wednesday October 02/10/2024
;Device,M2K
;Nr of samples,200
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,50000,40,-0.112673
1,51586.1,39.9941,-0.246532
2,53222.5,39.9844,-0.15939
3,54910.8,39.9599,-0.425851
4,56652.7,39.9636,-0.4087
5,58449.8,39.964,-0.596808
6,60304,39.9456,-0.407518
7,62216.9,39.9241,-1.26486
8,64190.6,39.9355,-0.529703
9,66226.8,39.9285,-0.00608862
10,68327.7,39.8937,-0.841371
11,70495.2,39.9078,-0.0549076
12,72731.4,39.9369,-0.536022
13,75038.6,40.0615,-0.988072
14,77419,40.0699,-0.918225
15,79874.8,40.0802,-0.272186
16,82408.6,40.0979,-0.379547
17,85022.8,40.0983,-0.965911
18,87719.9,40.1059,-1.58228
19,90502.5,40.1228,-1.43566
20,93373.4,40.1272,-0.404629
21,96335.4,40.1445,-0.655944
22,99391.4,40.1837,-0.967614
23,102544,39.9876,-1.01867
24,105797,39.9764,-1.09435
25,109153,39.9759,-1.0142
26,112616,40.0125,-0.747279
27,116188,39.9866,-1.15573
28,119874,39.9941,-1.217
29,123677,40.0051,-1.62282
30,127600,39.9949,-1.40736
31,131647,39.985,-1.60204
32,135824,39.9941,-1.68075
33,140132,40.0029,-1.63155
34,144577,39.9713,-1.56762
35,149164,39.9717,-1.89856
36,153895,40.0181,-2.23107
37,158777,39.9998,-1.90369
38,163814,39.9958,-1.83357
39,169011,40.0006,-2.22907
40,174372,39.9991,-1.91049
41,179903,39.991,-2.14703
42,185610,39.963,-2.18046
43,191498,39.9708,-2.12161
44,197573,39.9806,-2.46487
45,203840,39.9762,-2.39435
46,210306,39.9716,-2.30086
47,216978,39.9682,-2.78452
48,223861,39.9853,-3.11115
49,230962,39.9763,-2.90985
50,238289,39.9661,-2.90467
51,245848,39.9843,-3.06524
52,253646,39.9625,-3.26495
53,261692,39.9619,-3.20091
54,269994,39.948,-3.12036
55,278559,39.9856,-3.51333
56,287395,39.9409,-4.05038
57,296512,39.9633,-3.90978
58,305918,39.9452,-3.90486
59,315622,39.99,-4.08628
60,325634,39.9707,-3.97919
61,335964,39.9439,-4.14461
62,346621,39.9895,-4.47969
63,357617,39.9909,-4.28991
64,368961,39.9793,-4.41421
65,380665,39.9663,-4.7944
66,392741,39.9845,-5.62025
67,405199,39.9762,-4.94934
68,418053,39.9702,-5.55149
69,431314,39.9948,-6.63262
70,444996,39.9823,-5.14643
71,459112,40.0062,-5.58672
72,473676,40.0244,-6.46997
73,488702,39.9854,-6.21334
74,504205,39.9986,-7.00515
75,520199,39.9821,-7.27549
76,536701,39.9724,-6.99379
77,553726,39.964,-6.95049
78,571291,39.9752,-7.38447
79,589414,39.9683,-7.41373
80,608111,39.9371,-8.82622
81,627402,39.9519,-7.86024
82,647304,39.9193,-8.57224
83,667838,39.9317,-8.2808
84,689023,39.9472,-8.92547
85,710880,39.9223,-9.21946
86,733431,39.9287,-10.0525
87,756696,39.8545,-9.7167
88,780700,39.8531,-10.0389
89,805466,39.8423,-11.042
90,831017,39.8945,-11.0827
91,857378,39.8659,-11.2643
92,884576,39.8452,-11.8474
93,912636,39.8402,-11.9922
94,941587,39.8214,-12.8111
95,971456,39.8097,-12.6878
96,1.00227e+06,39.7589,-12.9856
97,1.03407e+06,39.7233,-13.2413
98,1.06687e+06,39.7013,-14.6933
99,1.10071e+06,39.7673,-14.7064
100,1.13563e+06,39.7104,-14.9374
101,1.17165e+06,39.677,-16.083
102,1.20882e+06,39.6688,-16.2191
103,1.24717e+06,39.644,-16.3978
104,1.28673e+06,39.6316,-16.4984
105,1.32755e+06,39.6361,-17.2506
106,1.36966e+06,39.5814,-18.3927
107,1.41311e+06,39.5456,-18.7668
108,1.45793e+06,39.5668,-19.3069
109,1.50418e+06,39.5525,-20.0816
110,1.5519e+06,39.493,-20.1039
111,1.60113e+06,39.4873,-21.2672
112,1.65192e+06,39.4416,-20.9535
113,1.70432e+06,39.3945,-21.7612
114,1.75838e+06,39.3677,-22.4153
115,1.81416e+06,39.3439,-23.7805
116,1.87171e+06,39.3205,-24.9023
117,1.93109e+06,39.2619,-24.8146
118,1.99234e+06,39.2035,-25.6556
119,2.05554e+06,39.1804,-27.1815
120,2.12075e+06,39.1567,-27.5613
121,2.18802e+06,39.0794,-27.5876
122,2.25743e+06,39.0574,-28.9974
123,2.32904e+06,38.9971,-30.2253
124,2.40293e+06,38.9125,-29.9455
125,2.47915e+06,38.8701,-30.6476
126,2.55779e+06,38.7761,-32.5889
127,2.63893e+06,38.7104,-32.9517
128,2.72264e+06,38.6553,-34.0678
129,2.80901e+06,38.6005,-34.7909
130,2.89812e+06,38.4919,-35.7158
131,2.99005e+06,38.4089,-36.2239
132,3.0849e+06,38.3514,-37.5516
133,3.18276e+06,38.2417,-37.5982
134,3.28373e+06,38.1474,-39.838
135,3.38789e+06,38.0662,-40.273
136,3.49536e+06,37.9508,-40.5712
137,3.60624e+06,37.8694,-42.2821
138,3.72064e+06,37.7534,-42.7136
139,3.83866e+06,37.6855,-44.7549
140,3.96043e+06,37.538,-45.2953
141,4.08607e+06,37.3823,-45.8656
142,4.21569e+06,37.3013,-47.3348
143,4.34942e+06,37.1621,-47.6612
144,4.48739e+06,37.0896,-49.3313
145,4.62974e+06,36.9182,-51.2025
146,4.7766e+06,36.7483,-52.1387
147,4.92812e+06,36.6772,-52.0143
148,5.08445e+06,36.4951,-53.1623
149,5.24574e+06,36.3477,-53.9953
150,5.41215e+06,36.1825,-55.9259
151,5.58383e+06,35.9641,-56.8336
152,5.76096e+06,35.8181,-57.8464
153,5.94371e+06,35.7231,-58.4794
154,6.13225e+06,35.4944,-59.5683
155,6.32678e+06,35.3888,-60.5024
156,6.52748e+06,35.2351,-61.672
157,6.73454e+06,35.0369,-62.1385
158,6.94818e+06,34.8928,-62.3428
159,7.16859e+06,34.687,-64.5286
160,7.39599e+06,34.5228,-65.6024
161,7.6306e+06,34.2972,-66.9212
162,7.87266e+06,34.0858,-68.2447
163,8.1224e+06,33.9172,-69.0824
164,8.38005e+06,33.7347,-70.2723
165,8.64589e+06,33.6042,-71.7484
166,8.92015e+06,33.348,-72.0132
167,9.20311e+06,33.0835,-72.2085
168,9.49505e+06,32.9335,-73.6534
169,9.79626e+06,32.678,-74.2771
170,1.0107e+07,32.5683,-75.8135
171,1.04276e+07,32.3177,-77.5792
172,1.07584e+07,32.0788,-77.1583
173,1.10997e+07,31.8316,-78.0319
174,1.14518e+07,31.5727,-78.5685
175,1.18151e+07,31.4409,-81.2376
176,1.21899e+07,31.1229,-82.1197
177,1.25765e+07,30.8775,-82.3979
178,1.29755e+07,30.6842,-82.1521
179,1.33871e+07,30.5066,-83.4526
180,1.38118e+07,30.2374,-84.3547
181,1.42499e+07,30.0069,-84.8425
182,1.47019e+07,29.7727,-85.2255
183,1.51683e+07,29.6739,-85.9813
184,1.56495e+07,29.3875,-85.7146
185,1.61459e+07,29.247,-87.6714
186,1.66581e+07,29.0331,-88.4982
187,1.71865e+07,28.8422,-88.7395
188,1.77317e+07,28.726,-88.0488
189,1.82942e+07,28.6288,-89.5702
190,1.88745e+07,28.4401,-91.4165
191,1.94733e+07,28.312,-90.9634
192,2.0091e+07,28.1036,-95.0978
193,2.07283e+07,28.0623,-92.5894
194,2.13859e+07,28.0393,-93.627
195,2.20643e+07,27.887,-94.8243
196,2.27642e+07,27.7113,-97.6476
197,2.34863e+07,27.6559,-96.1466
198,2.42313e+07,27.6687,-101.771
199,2.5e+07,27.4902,-96.5193
