;Scopy version,f4beeb1
;Exported on,Monday September 30/09/2024
;Device,M2K
;Nr of samples,200
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,1000,14.0602,179.243
1,1040.1,13.864,179.59
2,1081.81,13.8738,179.566
3,1125.19,13.8816,179.646
4,1170.31,13.8745,179.64
5,1217.24,13.8726,179.666
6,1266.05,13.8783,179.616
7,1316.82,13.8772,179.565
8,1369.62,13.8835,179.42
9,1424.54,13.8946,179.516
10,1481.67,13.8994,179.508
11,1541.08,13.9106,179.473
12,1602.88,13.9159,179.487
13,1667.16,13.9164,179.452
14,1734.01,13.919,179.604
15,1803.54,13.9251,179.386
16,1875.86,13.9234,179.522
17,1951.09,13.9303,179.27
18,2029.32,13.9378,179.342
19,2110.7,13.9356,179.311
20,2195.34,13.9373,179.275
21,2283.37,13.9346,179.088
22,2374.93,13.9371,179.004
23,2470.17,13.9445,179.067
24,2569.22,13.9527,179.147
25,2672.25,13.9615,179.119
26,2779.41,13.9746,179.041
27,2890.86,13.9781,179.112
28,3006.78,13.988,178.995
29,3127.36,14.0182,179.098
30,3252.76,14.0088,178.937
31,3383.2,13.999,178.758
32,3518.86,13.995,178.82
33,3659.97,13.995,178.625
34,3806.73,13.9944,178.481
35,3959.38,13.9987,178.41
36,4118.16,14.001,178.479
37,4283.29,14.0105,178.158
38,4455.05,14.0026,178.393
39,4633.7,14.0021,178.284
40,4819.51,13.9897,178.135
41,5012.77,13.9895,177.897
42,5213.79,13.984,178.161
43,5422.86,13.9797,177.909
44,5640.31,13.9688,178.049
45,5866.49,13.9681,177.874
46,6101.74,13.9485,178.103
47,6346.42,13.949,177.963
48,6600.91,13.9375,177.804
49,6865.6,13.9419,177.844
50,7140.91,13.9343,177.255
51,7427.26,13.9497,177.584
52,7725.1,13.9886,177.098
53,8034.87,13.9842,177.047
54,8357.07,13.9836,176.634
55,8692.19,13.9781,176.36
56,9040.75,13.9504,176.73
57,9403.28,13.9408,176.527
58,9780.35,13.9729,176.393
59,10172.5,13.9882,176.035
60,10580.5,13.9897,175.998
61,11004.7,13.9811,175.787
62,11446,13.972,175.495
63,11905,13.9707,175.609
64,12382.4,13.9778,175.136
65,12878.9,13.9686,174.997
66,13395.4,13.9643,174.865
67,13932.5,13.9673,174.662
68,14491.2,13.9627,174.433
69,15072.3,13.9655,174.206
70,15676.7,13.9696,173.891
71,16305.4,13.9733,173.652
72,16959.2,13.968,173.364
73,17639.3,13.9644,173.002
74,18346.6,13.9608,172.95
75,19082.3,13.9559,172.542
76,19847.5,13.9537,172.168
77,20643.4,13.9552,171.959
78,21471.2,13.9437,171.483
79,22332.2,13.9444,171.162
80,23227.7,13.9422,170.891
81,24159.1,13.9302,170.651
82,25127.9,13.9309,170.101
83,26135.5,13.9285,169.744
84,27183.6,13.9141,169.433
85,28273.6,13.9142,169.068
86,29407.4,13.9097,168.523
87,30586.6,13.8799,168.358
88,31813.1,13.8792,167.682
