;Scopy version,f4beeb1
;Exported on,Monday September 30/09/2024
;Device,M2K
;Nr of samples,200
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,1000,60.1998,-2.38922
1,1040.1,39.725,-1.85782
2,1081.81,39.7381,-1.68881
3,1125.19,39.7158,-1.87605
4,1170.31,39.697,-2.0571
5,1217.24,39.6828,-1.76528
6,1266.05,39.6864,-2.14023
7,1316.82,39.6773,-1.96008
8,1369.62,39.6452,-2.53145
9,1424.54,39.622,-2.37466
10,1481.67,39.6161,-2.11416
11,1541.08,39.5987,-2.21331
12,1602.88,39.6093,-2.62048
13,1667.16,39.6085,-2.38067
14,1734.01,39.6265,-2.60819
15,1803.54,39.6535,-2.89443
16,1875.86,39.6897,-3.20912
17,1951.09,39.6938,-2.60951
18,2029.32,39.6789,-3.17467
19,2110.7,39.7006,-2.86328
20,2195.34,39.713,-3.61184
21,2283.37,39.719,-3.22312
22,2374.93,39.7497,-3.69849
23,2470.17,39.7413,-3.83028
24,2569.22,39.7582,-4.36726
25,2672.25,39.7902,-4.0687
26,2779.41,39.809,-3.96328
27,2890.86,39.8231,-4.10902
28,3006.78,39.8321,-4.77823
29,3127.36,39.8298,-4.27176
30,3252.76,39.8562,-4.56102
31,3383.2,39.8561,-5.75222
32,3518.86,39.896,-5.34858
33,3659.97,39.9024,-5.53005
34,3806.73,39.9371,-5.82505
35,3959.38,39.9596,-7.14578
36,4118.16,39.9691,-6.74923
37,4283.29,39.9885,-6.90315
38,4455.05,40.0284,-7.39083
39,4633.7,40.0679,-8.27049
40,4819.51,40.0848,-8.0387
41,5012.77,40.0462,-8.94826
42,5213.79,40.1176,-9.28738
43,5422.86,40.1145,-9.31154
44,5640.31,40.1384,-10.3475
45,5866.49,40.154,-10.7982
46,6101.74,40.1773,-11.2534
47,6346.42,40.1747,-11.8678
48,6600.91,40.1296,-11.9001
49,6865.6,40.1844,-13.2235
50,7140.91,40.1095,-13.5163
51,7427.26,40.1242,-14.8516
52,7725.1,40.1241,-15.1826
53,8034.87,40.1092,-15.7965
54,8357.07,40.0436,-15.5517
55,8692.19,39.9857,-17.5322
56,9040.75,39.9182,-17.1642
57,9403.28,39.8797,-18.5524
58,9780.35,39.8607,-18.9135
59,10172.5,39.7974,-20.1278
60,10580.5,39.7668,-20.5616
61,11004.7,39.7484,-21.5073
62,11446,39.697,-22.2944
63,11905,39.6344,-22.8124
64,12382.4,39.6261,-24.2818
65,12878.9,39.5717,-25.0612
66,13395.4,39.5552,-26.2713
67,13932.5,39.497,-27.1559
68,14491.2,39.4469,-27.9515
69,15072.3,39.4035,-29.4119
70,15676.7,39.3304,-29.8478
71,16305.4,39.2613,-31.3159
72,16959.2,39.2174,-32.454
73,17639.3,39.1281,-33.6255
74,18346.6,39.0553,-34.438
75,19082.3,38.9969,-35.8349
76,19847.5,38.9234,-37.141
77,20643.4,38.823,-38.9356
78,21471.2,38.7126,-39.9313
79,22332.2,38.6245,-41.2725
80,23227.7,38.4923,-42.5651
81,24159.1,38.3644,-43.9487
82,25127.9,38.2513,-45.711
83,26135.5,38.0248,-45.3205
84,27183.6,37.8838,-47.4552
85,28273.6,37.7858,-48.8117
86,29407.4,37.6091,-50.5612
87,30586.6,37.4612,-52.6132
88,31813.1,37.3101,-53.0228
89,33088.9,37.1488,-55.5248
90,34415.7,36.9906,-56.2113
91,35795.8,36.8111,-57.9596
92,37231.2,36.596,-59.5633
93,38724.2,36.4359,-61.4938
94,40277,36.2399,-63.4336
95,41892.1,36.0675,-64.4973
96,43572,35.8159,-66.3694
97,45319.2,35.6492,-67.434
98,47136.5,35.3894,-69.7197
